w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.6749999999999998,3.25,17584,0.00009,4.16295,2.51303,1.25573,1.21703,3.15569,3.05843,0.03021,0.02928,0.02406
1.6749999999999998,3.75,17485,0.00007,2.26256,1.92513,1.20923,1.15047,2.32792,2.21480,0.02230,0.02121,0.01844
1.6749999999999998,4.25,17243,0.00005,1.29921,1.51832,1.16914,1.09409,1.77512,1.66117,0.01706,0.01597,0.01459
1.6749999999999998,4.75,17390,0.00004,0.80228,1.22529,1.13406,1.04552,1.38955,1.28106,0.01328,0.01225,0.01171
1.6749999999999998,5.25,17365,0.00003,0.51406,1.01332,1.10298,1.00310,1.11767,1.01646,0.01073,0.00976,0.00973
1.6749999999999998,5.75,17446,0.00002,0.34161,0.84780,1.07516,0.96562,0.91151,0.81865,0.00872,0.00783,0.00811
1.6749999999999998,6.25,17375,0.00002,0.22887,0.70995,1.05004,0.93219,0.74548,0.66181,0.00718,0.00637,0.00684
1.6749999999999998,6.75,17519,0.00002,0.16062,0.60666,1.02720,0.90213,0.62316,0.54729,0.00598,0.00525,0.00582
1.6749999999999998,7.25,17669,0.00001,0.11542,0.52428,1.00629,0.87489,0.52758,0.45869,0.00501,0.00436,0.00498
1.6749999999999998,7.75,17427,0.00001,0.08254,0.45614,0.98704,0.85007,0.45023,0.38775,0.00434,0.00374,0.00440
1.6749999999999998,8.25,17464,0.00001,0.06091,0.39918,0.96924,0.82732,0.38690,0.33025,0.00372,0.00317,0.00384
1.6749999999999998,8.75,17345,0.00001,0.04536,0.35266,0.95270,0.80637,0.33598,0.28438,0.00324,0.00274,0.00340
1.6749999999999998,9.25,17583,0.00001,0.03449,0.30912,0.93728,0.78699,0.28973,0.24327,0.00278,0.00233,0.00296
1.6749999999999998,9.75,17372,0.00001,0.02634,0.27728,0.92284,0.76899,0.25589,0.21323,0.00248,0.00206,0.00268
1.6749999999999998,10.25,17466,0.00000,0.02062,0.24880,0.90929,0.75221,0.22623,0.18715,0.00218,0.00180,0.00239
