w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
2.075,5.5,34976,1.14711,3686,0.12246,4e-05,0.81427,1.0887,0.9838,0.88649,0.80108,0.00708,0.0064,0.00651
2.075,6.5,35239,0.54508,3459,0.05278,3e-05,0.57745,1.03836,0.91677,0.5996,0.5294,0.00471,0.00416,0.00454
2.075,7.5,35340,0.28634,3190,0.02422,2e-05,0.43378,0.99647,0.8622,0.43225,0.37401,0.00334,0.00289,0.00335
2.075,8.5,35216,0.15919,2676,0.01125,1e-05,0.33426,0.96082,0.81663,0.32117,0.27297,0.0025,0.00212,0.0026
2.075,9.5,35002,0.09412,2145,0.00502,1e-05,0.26626,0.92994,0.77782,0.2476,0.2071,0.00194,0.00162,0.00209
2.075,10.5,34909,0.05803,1462,0.00203,1e-05,0.21467,0.90281,0.74424,0.19381,0.15977,0.0015,0.00124,0.00166
2.125,2.2,14157,15.56506,748,0.75028,0.00029,3.73249,1.38479,1.40808,5.16871,5.25566,0.06706,0.06819,0.04843
2.125,2.7,21193,11.56524,1577,0.77841,0.0002,2.76016,1.31678,1.30626,3.63451,3.60548,0.03929,0.03898,0.02984
2.125,3.25,17765,4.77154,1587,0.41208,0.00014,1.9849,1.25573,1.21703,2.4925,2.41568,0.0286,0.02772,0.02278
2.125,3.85,24396,3.48666,2324,0.32036,9e-05,1.51711,1.20075,1.13847,1.82167,1.72718,0.01836,0.0174,0.01529
2.125,4.6,27622,1.91849,2813,0.17795,6e-05,1.09656,1.14412,1.05938,1.2546,1.16167,0.01171,0.01084,0.01023
2.125,5.5,34872,1.14691,3682,0.11804,4e-05,0.78689,1.0887,0.9838,0.85668,0.77414,0.00715,0.00646,0.00657
2.125,6.5,35253,0.55433,3442,0.0516,3e-05,0.56345,1.03836,0.91677,0.58506,0.51656,0.00481,0.00424,0.00463
2.125,7.5,34782,0.29046,3104,0.02351,2e-05,0.42768,0.99647,0.8622,0.42617,0.36874,0.00358,0.0031,0.00359
2.125,8.5,34972,0.16098,2705,0.01116,1e-05,0.32464,0.96082,0.81663,0.31192,0.26511,0.00259,0.0022,0.0027
2.125,9.5,34866,0.09571,2089,0.00474,1e-05,0.25851,0.92994,0.77782,0.2404,0.20108,0.002,0.00167,0.00215
2.125,10.5,34948,0.06014,1291,0.00189,1e-05,0.21086,0.90281,0.74424,0.19037,0.15693,0.00159,0.00131,0.00176
2.175,2.2,13993,15.26355,703,0.68202,0.0003,3.6616,1.38479,1.40808,5.07054,5.15583,0.06691,0.06804,0.04832
2.175,2.7,20771,11.19304,1612,0.82353,0.0002,2.68113,1.31678,1.30626,3.53045,3.50225,0.03824,0.03793,0.02904
2.175,3.25,17578,4.64605,1643,0.42759,0.00014,1.91247,1.25573,1.21703,2.40154,2.32753,0.02756,0.02671,0.02194
2.175,3.85,24680,3.51402,2436,0.3265,0.0001,1.47366,1.20075,1.13847,1.7695,1.67772,0.01744,0.01654,0.01453
2.175,4.6,27803,1.93658,2889,0.18795,7e-05,1.06757,1.14412,1.05938,1.22143,1.13096,0.01129,0.01045,0.00987
2.175,5.5,35172,1.16427,3570,0.11119,4e-05,0.76555,1.0887,0.9838,0.83345,0.75315,0.0069,0.00624,0.00634
2.175,6.5,35033,0.55412,3542,0.05235,3e-05,0.54567,1.03836,0.91677,0.5666,0.50025,0.00465,0.0041,0.00447
2.175,7.5,34635,0.28485,3131,0.02239,2e-05,0.40412,0.99647,0.8622,0.4027,0.34844,0.00331,0.00286,0.00332
2.175,8.5,34831,0.16263,2631,0.01037,1e-05,0.31498,0.96082,0.81663,0.30264,0.25722,0.00252,0.00214,0.00262
2.175,9.5,35027,0.09626,2023,0.0047,1e-05,0.2469,0.92994,0.77782,0.2296,0.19205,0.00188,0.00157,0.00202
2.175,10.5,34873,0.06023,1063,0.0015,1e-05,0.20134,0.90281,0.74424,0.18177,0.14985,0.00152,0.00125,0.00168
2.225,2.2,13971,14.68063,759,0.73182,0.0003,3.49679,1.38479,1.40808,4.84231,4.92376,0.06662,0.06774,0.04811
2.225,2.7,20886,11.11577,1606,0.79037,0.0002,2.61177,1.31678,1.30626,3.43912,3.41165,0.03909,0.03878,0.02969
2.225,3.25,17405,4.69006,1545,0.39144,0.00014,1.91433,1.25573,1.21703,2.40388,2.3298,0.03095,0.02999,0.02465
2.225,3.85,24510,3.4206,2417,0.31838,0.0001,1.4123,1.20075,1.13847,1.69582,1.60786,0.01779,0.01687,0.01482
2.225,4.6,28266,1.94527,2944,0.19032,7e-05,1.02688,1.14412,1.05938,1.17487,1.08785,0.01134,0.0105,0.00992
2.225,5.5,34832,1.16184,3722,0.11431,4e-05,0.74777,1.0887,0.9838,0.81409,0.73565,0.00732,0.00662,0.00673
2.225,6.5,34631,0.54653,3474,0.05071,3e-05,0.52565,1.03836,0.91677,0.54581,0.4819,0.00481,0.00424,0.00463
2.225,7.5,35088,0.29078,3088,0.02236,2e-05,0.39179,0.99647,0.8622,0.39041,0.3378,0.00348,0.00301,0.00349
2.225,8.5,34948,0.1623,2613,0.01037,2e-05,0.30049,0.96082,0.81663,0.28872,0.24539,0.00252,0.00214,0.00262
2.225,9.5,35158,0.0988,1987,0.0045,1e-05,0.24148,0.92994,0.77782,0.22456,0.18783,0.00201,0.00168,0.00216
2.225,10.5,35112,0.06001,928,0.00147,1e-05,0.19008,0.90281,0.74424,0.17161,0.14147,0.00149,0.00123,0.00166
2.275,2.2,14080,14.99486,756,0.72669,0.0003,3.52161,1.38479,1.40808,4.87668,4.95872,0.07211,0.07332,0.05207
2.275,2.7,20868,10.99641,1635,0.72998,0.00021,2.55693,1.31678,1.30626,3.36691,3.34001,0.04212,0.04179,0.03199
2.275,3.25,17355,4.63273,1624,0.39134,0.00014,1.86667,1.25573,1.21703,2.34404,2.2718,0.03157,0.0306,0.02514
2.275,3.85,24378,3.49958,2481,0.30738,0.0001,1.42412,1.20075,1.13847,1.71001,1.62131,0.01941,0.0184,0.01616
2.275,4.6,28304,1.99571,2930,0.18377,7e-05,1.02695,1.14412,1.05938,1.17496,1.08793,0.0121,0.0112,0.01057
2.275,5.5,35255,1.18909,3731,0.11374,5e-05,0.73489,1.0887,0.9838,0.80007,0.72299,0.00755,0.00682,0.00694
2.275,6.5,34772,0.57424,3340,0.04607,3e-05,0.53246,1.03836,0.91677,0.55288,0.48814,0.00531,0.00469,0.00511
2.275,7.5,35136,0.29775,3046,0.02106,2e-05,0.38647,0.99647,0.8622,0.38511,0.33322,0.00363,0.00314,0.00365
