w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
2.075,10.0,286838,0.80227,32411,0.08835,1e-05,0.24895,0.91596,0.22803
2.075,12.0,287476,0.33559,31887,0.03615,1e-05,0.16919,0.86759,0.14679
2.075,14.0,286341,0.15863,29792,0.01598,0.0,0.12292,0.82833,0.10182
2.075,16.5,430856,0.10797,37591,0.00926,0.0,0.0887,0.78815,0.06991
2.075,19.5,429785,0.04635,28797,0.00314,0.0,0.06213,0.74904,0.04654
2.075,23.0,574252,0.02714,25660,0.00127,0.0,0.04448,0.71209,0.03167
2.075,27.5,716292,0.01377,12723,0.00029,0.0,0.03088,0.67395,0.02081
2.125,3.25,71663,22.01407,1,0.00024,0.00016,1.92819,1.25573,2.42128
2.125,3.85,100531,16.32664,1145,0.16123,0.00011,1.4478,1.20075,1.73845
2.125,4.6,114570,9.30307,4289,0.33475,8e-05,1.06244,1.14412,1.21556
2.125,5.5,143298,5.58604,8181,0.31289,5e-05,0.76183,1.0887,0.8294
2.125,6.5,143211,2.75986,11272,0.21186,3e-05,0.55622,1.03836,0.57755
2.125,7.5,144028,1.48158,13556,0.13432,2e-05,0.41949,0.99647,0.41801
2.125,8.5,143690,0.84518,15529,0.08741,2e-05,0.32745,0.96082,0.31462
2.125,10.0,287211,0.82625,32422,0.08877,1e-05,0.24294,0.91596,0.22252
2.125,12.0,287419,0.34667,32258,0.03653,1e-05,0.16533,0.86759,0.14344
2.125,14.0,287064,0.16398,29542,0.01601,0.0,0.11957,0.82833,0.09904
2.125,16.5,430246,0.11187,37490,0.00946,0.0,0.08659,0.78815,0.06825
2.125,19.5,430147,0.04799,28968,0.00324,0.0,0.06033,0.74904,0.04519
2.125,23.0,573121,0.02805,25241,0.0013,0.0,0.04312,0.71209,0.0307
2.125,27.5,716979,0.01429,12565,0.00029,0.0,0.02989,0.67395,0.02015
2.175,3.85,100035,16.3361,1210,0.16143,0.00012,1.41313,1.20075,1.69682
2.175,4.6,115054,9.31099,4453,0.34904,8e-05,1.02365,1.14412,1.17118
2.175,5.5,143015,5.64244,8555,0.33057,5e-05,0.74248,1.0887,0.80833
2.175,6.5,143558,2.79394,11417,0.2173,4e-05,0.53902,1.03836,0.55969
2.175,7.5,143496,1.49686,13749,0.13997,3e-05,0.40702,0.99647,0.40559
