w_val_rec,q2_val_rec,rec_events,weight_rec
2.175,4.25,1779,0.16772
2.175,4.75,1819,0.10049
2.175,5.25,1747,0.06714
2.175,5.75,1823,0.04405
2.175,6.25,1833,0.03101
2.175,6.75,1709,0.02134
2.175,7.25,1593,0.01308
2.175,7.75,1538,0.00931
2.175,8.25,1375,0.00613
2.175,8.75,1256,0.00424
2.175,9.25,1087,0.00286
2.175,9.75,936,0.00184
2.175,10.25,765,0.00112
2.175,10.75,298,0.00037
2.225,2.25,1001,0.90444
2.225,2.75,1364,0.61775
2.225,3.25,1545,0.39144
2.225,3.75,1732,0.24715
2.225,4.25,1788,0.15795
2.225,4.75,1841,0.10360
2.225,5.25,1802,0.06575
2.225,5.75,1920,0.04856
2.225,6.25,1845,0.03145
2.225,6.75,1629,0.01925
2.225,7.25,1560,0.01269
2.225,7.75,1528,0.00967
2.225,8.25,1351,0.00622
2.225,8.75,1262,0.00415
2.225,9.25,1052,0.00265
2.225,9.75,935,0.00185
2.225,10.25,736,0.00124
2.225,10.75,192,0.00023
2.275,2.25,969,0.85487
2.275,2.75,1422,0.60180
2.275,3.25,1624,0.39134
2.275,3.75,1731,0.23420
2.275,4.25,1821,0.15671
2.275,4.75,1859,0.10024
2.275,5.25,1870,0.06955
2.275,5.75,1861,0.04419
2.275,6.25,1692,0.02683
2.275,6.75,1648,0.01924
2.275,7.25,1558,0.01203
2.275,7.75,1488,0.00903
2.275,8.25,1381,0.00615
2.275,8.75,1177,0.00389
2.275,9.25,1070,0.00278
2.275,9.75,967,0.00201
2.275,10.25,632,0.00108
2.275,10.75,47,0.00011
2.325,2.25,1049,0.89694
2.325,2.75,1424,0.59434
2.325,3.25,1713,0.41639
2.325,3.75,1817,0.24875
2.325,4.25,1831,0.15654
2.325,4.75,1824,0.09744
2.325,5.25,1852,0.06783
2.325,5.75,1818,0.04166
2.325,6.25,1767,0.03080
2.325,6.75,1741,0.02033
2.325,7.25,1593,0.01298
2.325,7.75,1483,0.00948
2.325,8.25,1340,0.00624
2.325,8.75,1209,0.00388
2.325,9.25,1050,0.00269
2.325,9.75,915,0.00173
2.325,10.25,491,0.00077
2.325,10.75,4,0.00000
2.375,2.25,1061,0.86437
2.375,2.75,1470,0.64746
2.375,3.25,1571,0.37188
2.375,3.75,1827,0.25589
2.375,4.25,1878,0.16685
2.375,4.75,1889,0.10141
2.375,5.25,1859,0.06730
2.375,5.75,1875,0.04382
2.375,6.25,1778,0.03066
2.375,6.75,1647,0.01854
2.375,7.25,1481,0.01186
2.375,7.75,1489,0.00870
2.375,8.25,1249,0.00535
2.375,8.75,1168,0.00386
2.375,9.25,1027,0.00241
2.375,9.75,882,0.00166
2.375,10.25,241,0.00034
2.375,10.75,1,0.00000
2.425,2.25,1103,0.92243
2.425,2.75,1495,0.59998
2.425,3.25,1765,0.41995
2.425,3.75,1870,0.26661
2.425,4.25,1927,0.16675
2.425,4.75,1836,0.09765
2.425,5.25,1951,0.06646
2.425,5.75,1855,0.04412
2.425,6.25,1770,0.02828
2.425,6.75,1692,0.01888
2.425,7.25,1588,0.01335
2.425,7.75,1507,0.00915
2.425,8.25,1229,0.00549
2.425,8.75,1219,0.00392
2.425,9.25,1002,0.00243
2.425,9.75,768,0.00148
2.425,10.25,76,0.00011
